LotID,Titel,Beschreibung,Auktionsdatum,Detail-Link,Bild-Link
2192371,"Macho & Chlapovič - Auction 30, Lot 1071","Moravia / Lower Austria, Celts Obol. Roseldorf / Němčice II type Mähren / Niederösterreich, Kelten Obol. Typ Roseldorf / Němčice II Morava / Dolní Rakousko, Kelti Obol. Typ Roseldorf / Němčice II 0,85 g, 9-10 mm, Kostur – Gášpár 65 var., good VF / good VF Starting price: 20 EUR...",21 Apr 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2192371&AucID=5271&Lot=1071,https://media.coinarchives.com/52a94ae05978ddedf524639199f76cfa/img/macho/030/image01071.jpg
2192372,"Macho & Chlapovič - Auction 30, Lot 1072","Moravia / Lower Austria, Celts Obol. Roseldorf / Němčice II type Traces of corrosion. Mähren / Niederösterreich, Kelten Obol. Typ Roseldorf / Němčice II Korrosionsspuren. Morava / Dolní Rakousko, Kelti Obol. Typ Roseldorf / Němčice II Stopy koroze. 0,7 g, 8-9 mm, Kostur – Gášpár 65 var., good VF / good VF Starting price: 15 EUR...",21 Apr 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2192372&AucID=5271&Lot=1072,https://media.coinarchives.com/6bc066e7d1e00aee1de79d692eaa8ffd/img/macho/030/image01072.jpg
2192374,"Macho & Chlapovič - Auction 30, Lot 1074","Lower Austria, Celts Obol (half of 2nd century BC). Roseldorf / Němčice II type Niederösterreich, Kelten Obol (Hälfte des 2. Jh. v. Chr.). Typ Roseldorf / Němčice II Dolní Rakousko, Kelti Obol (polovina 2. stol. př. Kr.). Typ Roseldorf / Němčice II 0,7 g, 8-9 mm, Kostur–Gášpár 65 var., good VF / good VF Starting price: 15 EUR...",21 Apr 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2192374&AucID=5271&Lot=1074,https://media.coinarchives.com/472a06b5a68bd0083f510eda14994689/img/macho/030/image01074.jpg
2192381,"Macho & Chlapovič - Auction 30, Lot 1081","Central Europe, Celts Obol. Karlstein type Mitteleuropa, Kelten Obol. Typ Karlstein Střední Evropa, Kelti Obol. Typ Karlstein 0,4 g, 7-8 mm, about EF / about EF Starting price: 10 EUR...",21 Apr 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2192381&AucID=5271&Lot=1081,https://media.coinarchives.com/1e9f954347b70d2d9e8b46078ce71598/img/macho/030/image01081.jpg
2192382,"Macho & Chlapovič - Auction 30, Lot 1082","Central Europe, Celts Obol. Karlstein type Slightly broken off. Mitteleuropa, Kelten Obol. Typ Karlstein Leicht abgespaltet. Střední Evropa, Kelti Obol. Typ Karlstein Nepatrně vylomený. 0,4 g, 8 mm, EF / EF Starting price: 15 EUR...",21 Apr 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2192382&AucID=5271&Lot=1082,https://media.coinarchives.com/d6c47058d8685b3eec7a8bdb0cebfb00/img/macho/030/image01082.jpg
2192383,"Macho & Chlapovič - Auction 30, Lot 1083","Central Europe, Celts Obol. Karlstein type Broken off. Mitteleuropa, Kelten Obol. Typ Karlstein Abgespaltet. Střední Evropa, Kelti Obol. Typ Karlstein Olámaný. 0,3 g, 7 mm, about EF / EF Starting price: 10 EUR...",21 Apr 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2192383&AucID=5271&Lot=1083,https://media.coinarchives.com/5cde886997086f94982944a60224a42e/img/macho/030/image01083.jpg
2196221,"Numisfitz GmbH - Auction 1, Lot 6","CENTRAL EUROPE. Vindelici. 1/4 Quinarius (1st century BC). ""Manching"" type. Obv: Stylized head right, wearing mask(?). Rev: Stylized horse prancing left. Cf. Flesche 389-93. Condition: Near very fine. Weight: 0.43 g. Diameter: 10 mm. Starting price: 50 EUR...",26 Mar 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2196221&AucID=5282&Lot=6,https://media.coinarchives.com/4d084d1611ec3b71af7df1130309020b/img/numisfitz/001/image00006.jpg
2233924,"Fritz Rudolf Künker GmbH & Co. KG - eLive Auction 78, Lot 5014","CELTIC COINS GERMANIA VINDELIKER. AR-Quinar, 2./1. Jahrhundert v. Chr.; 1,87 g. Kopf r.//Kreuz. Kellner Typ Dühren; Slg. Flesche 355 (dies Exemplar). R Schön-sehr schön Exemplar der Auktion Sternberg VII, Zürich 1977, Nr. 25; der Auktion Leu 83, Zürich 2002, Nr. 479 und der Sammlung Christian Flesche, Auktion Fritz Rudolf Künker 366, Osnabrück 2022, Nr. 6335. Estimate: 100 EUR...",17 Jul 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2233924&AucID=5431&Lot=5014,https://media.coinarchives.com/b6facdc45ac2d159df49764bc2e094cd/img/kunker/e78/image05014.jpg
2233926,"Fritz Rudolf Künker GmbH & Co. KG - eLive Auction 78, Lot 5016","CELTIC COINS GERMANIA VINDELIKER. AR-1/4 Quinar (Typ Manching 2), 1. Jahrhundert v. Chr.; 0,45 g. Kopf l.//Pferd l., unten Sporen, oben Punkte. Kellner 317 ff.; Slg. Flesche 392 (dies Exemplar). Feine Tönung, sehr schön Exemplar der Sammlung Christian Flesche, Auktion Fritz Rudolf Künker 366, Osnabrück 2022, Nr. 6401. Datierung nach M. Nick: Gabe, Opfer, Zahlungsmittel. Strukturen keltischen Münzgebrauchs im westlichen Mitteleuropa, Band 1, Rahden 2006. Estimate: 30 EUR...",17 Jul 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2233926&AucID=5431&Lot=5016,https://media.coinarchives.com/d125b6f80fe90061bd84140f16854d22/img/kunker/e78/image05016.jpg
2233927,"Fritz Rudolf Künker GmbH & Co. KG - eLive Auction 78, Lot 5017","CELTIC COINS GERMANIA VINDELIKER. AR-1/4 Quinar, 1. Jahrhundert v. Chr.; 0,37 g. Kopf l.//Pferd l., oben Punkte. Kellner Typ mit Stachelhaaren a; Slg. Flesche 395 (dies Exemplar). Leicht korrodiert, sonst sehr schön Exemplar der Sammlung Christian Flesche (von diesem 2006 erworben bei der Münzhandlung Johannes Diller, München), Auktion Fritz Rudolf Künker 366, Osnabrück 2022, Nr. 6404. Estimate: 30 EUR...",17 Jul 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2233927&AucID=5431&Lot=5017,https://media.coinarchives.com/ac9a4565d9afc493a863076cc5c36151/img/kunker/e78/image05017.jpg
2276971,"Macho & Chlapovič - Auction 31, Lot 39","Bohemia or Moravia, Celts Obol (2nd century BC). Bi type Edges partly broken off. Nice patina. Böhmen oder Mähren, Kelten Obol (2. Jh. v. Chr.). Typ Bi Leicht abgespaltet. Schöne Patina. Čechy nebo Morava, Kelti Obol (2. stol. př. Kr.). Typ Bi Částečně olámaný. Pěkná patina. 0,45 g, 9,5 mm, Ag, Paulsen –, Lanz –, Flesche –, Kolníková 812–834 (Bi), Kostur – Gášpár 65.18 (var.), Militký II.43, about EF / EF Starting price: 100 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2276971&AucID=5527&Lot=39,https://media.coinarchives.com/2c918cea5d20315fc298a4baf2d145ac/img/macho/031/image00039.jpg
