"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"4781";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3417";"";"10.6";"Berching-Pollanten"
"4782";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3418";"";"7.8";"Berching-Pollanten"
"4783";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3420";"";"9.6";"Berching-Pollanten"
"4784";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Historisches Museum Regensburg";"Regensburg3421";"";"9.3";"Berching-Pollanten"
"4785";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Historisches Museum Regensburg";"Regensburg3422";"";"8.4";"Berching-Pollanten"
"4786";"Spätere süddeutsche Kreuzmünze";"Head to r.";"Cross, in the angles V, circle, V and torques.";"";"";"Historisches Museum Regensburg";"Regensburg3424";"";"9.6";"Berching-Pollanten"
"4787";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3425";"";"9.2";"Berching-Pollanten"
"4788";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3426";"";"9.7";"Berching-Pollanten"
"4789";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Historisches Museum Regensburg";"Regensburg3428";"";"8";"Berching-Pollanten"
"4790";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3431";"";"10";"Berching-Pollanten"
"4791";"Strenges Gesicht";"Head to l. Hair with short parallel lines, roof-like.";"Horse to l. ";"";"";"Historisches Museum Regensburg";"Regensburg3433";"";"8.1";"Berching-Pollanten"
"4792";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg 3435";"";"8.5";"Berching-Pollanten"
"4793";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3436";"";"9.2";"Berching-Pollanten"
"4824";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3437";"";"7.8";"Berching-Pollanten"
"4825";"Dühren var.";"Head to r. with line nose and lip dots.";"Cross, in the angles opposite V and three ringlets.";"";"";"Historisches Museum Regensburg";"Regensburg3438";"";"9.2";"Berching-Pollanten"
"4826";"Dühren var.";"Head to r. with line nose and lip dots.";"Cross, in the angles opposite V and three ringlets.";"";"";"Historisches Museum Regensburg";"Regensburg3439";"";"8.2";"Berching-Pollanten"
"4827";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3443";"";"9.9";"Berching-Pollanten"
"4828";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Historisches Museum Regensburg";"Regensburg3444";"";"8.5";"Berching-Pollanten"
"4829";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3445";"";"7.7";"Berching-Pollanten"
"4830";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3446";"";"8.8";"Berching-Pollanten"
"4831";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Historisches Museum Regensburg";"Regensburg3447";"";"9";"Berching-Pollanten"
"4832";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Historisches Museum Regensburg";"Regensburg3448";"";"7.7";"Berching-Pollanten"
"4833";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3449";"";"8.4";"Berching-Pollanten"
"4834";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3450";"";"9.4";"Berching-Pollanten"
"4835";"Stachelhaar b";"Head to r., short strands of hair with end points";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3451";"";"8.2";"Berching-Pollanten"
"4836";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3452";"";"8.5";"Berching-Pollanten"
"4837";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Historisches Museum Regensburg";"Regensburg3456";"";"8.8";"Berching-Pollanten"
"4838";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3460";"";"10";"Berching-Pollanten"
"4839";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3461";"";"9.9";"Berching-Pollanten"
"4840";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3462";"";"10.3";"Berching-Pollanten"
