"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"5118";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0079";"0.44";"11.7";"Manching"
"5119";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0103";"0.19";"10.7";"Manching"
"5120";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0105";"0.36";"10.6";"Manching"
"5320";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0109";"";"";"Manching"
"5321";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0113";"";"";"Manching"
"5321";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0113";"";"";"Manching"
"5322";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Archäologische Staatssammlung München";"K0114";"";"";"Manching"
"5323";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0165";"";"";"Manching"
"5323";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0165";"";"";"Manching"
"5324";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"Archäologische Staatssammlung München";"K0210";"";"";"Manching"
"5325";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0220";"";"";"Manching"
"5326";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0221";"";"";"Manching"
"5327";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0222";"";"";"Manching"
"5328";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0223";"";"";"Manching"
"5329";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0269";"";"";"Manching"
"5330";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0270";"";"";"Manching"
"5331";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0271";"";"";"Manching"
"5332";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0273";"";"";"Manching"
"5333";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0274";"";"";"Manching"
"5334";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0275";"";"";"Manching"
"5334";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0275";"";"";"Manching"
"5335";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0276";"";"";"Manching"
"5335";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0276";"";"";"Manching"
"5336";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0277";"";"";"Manching"
"5337";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0278";"";"";"Manching"
"5338";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0279";"";"";"Manching"
"5339";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0280";"";"";"Manching"
"5340";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0281";"";"";"Manching"
"5341";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0282";"";"";"Manching"
"5342";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0283";"";"";"Manching"
"5343";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0284";"";"";"Manching"
"5343";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"Archäologische Staatssammlung München";"K0284";"";"";"Manching"
"5344";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0285";"";"";"Manching"
"5345";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0286";"";"";"Manching"
"5346";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Archäologische Staatssammlung München";"K0289";"";"";"Manching"
"5347";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0290";"";"";"Manching"
"5348";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0291";"";"";"Manching"
"5349";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0293";"";"";"Manching"
"5350";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0294";"";"";"Manching"
"5351";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Archäologische Staatssammlung München";"K0295";"";"";"Manching"
"5352";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0317";"";"";"Manching"
"5353";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0318";"";"";"Manching"
"5353";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0318";"";"";"Manching"
"5354";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0319";"";"";"Manching"
"5355";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0320";"";"";"Manching"
"5356";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0321";"";"";"Manching"
"5356";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0321";"";"";"Manching"
"5357";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0322";"";"";"Manching"
"5358";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0323";"";"";"Manching"
"5359";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0324";"";"";"Manching"
"5360";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Archäologische Staatssammlung München";"K0325";"";"";"Manching"
"5361";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0335";"";"";"Manching"
"5362";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0336";"";"";"Manching"
"5363";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0337";"";"";"Manching"
"5363";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0337";"";"";"Manching"
"5364";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0338";"";"";"Manching"
"5365";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0339";"";"";"Manching"
"5365";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0339";"";"";"Manching"
"5366";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0340";"";"";"Manching"
"5367";"Roseldorf III";"Head to l.";"Horse-like creature to l., with horns and tusks.";"";"";"Archäologische Staatssammlung München";"K0341";"";"";"Manching"
"5368";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0342";"";"";"Manching"
"5369";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0343";"";"";"Manching"
"5370";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0344";"";"";"Manching"
"5370";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0344";"";"";"Manching"
"5371";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0345";"";"";"Manching"
"5372";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0346";"";"";"Manching"
"5373";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0359";"";"";"Manching"
"5374";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0363";"";"";"Manching"
"5375";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0364";"";"";"Manching"
"5376";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0365";"";"";"Manching"
"5377";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Archäologische Staatssammlung München";"K0366";"";"";"Manching"
"5378";"Manching, without symbol above Horse";"";"";"";"";"Archäologische Staatssammlung München";"K0398";"";"";"Manching"
"5379";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0399";"";"";"Manching"
"5380";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0400";"";"";"Manching"
"5381";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Archäologische Staatssammlung München";"K0401";"";"";"Manching"
"5382";"Brillengesicht";"";"";"";"";"Archäologische Staatssammlung München";"K0402";"";"";"Manching"
"5383";"Magdalensberg";"";"";"";"";"Archäologische Staatssammlung München";"K0407";"";"";"Manching"
"5384";"Magdalensberg";"";"";"";"";"Archäologische Staatssammlung München";"K0408";"";"";"Manching"
"5385";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0411";"";"";"Manching"
"5386";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0412";"";"";"Manching"
"5387";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0413";"";"";"Manching"
"5388";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0414";"";"";"Manching"
"5389";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0421";"";"";"Manching"
"5390";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0422";"";"";"Manching"
"5391";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0423";"";"";"Manching"
"5391";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0423";"";"";"Manching"
"5392";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0424";"";"";"Manching"
"5392";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0424";"";"";"Manching"
"5393";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0429";"";"";"Manching"
"5394";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0430";"";"";"Manching"
"5394";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0430";"";"";"Manching"
"5395";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0431";"";"";"Manching"
"5396";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0432";"";"";"Manching"
"5397";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0434";"";"";"Manching"
"5397";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0434";"";"";"Manching"
"5398";"Kopf mit gewellten Haaren";"";"";"";"";"Archäologische Staatssammlung München";"K0435";"";"";"Manching"
"5399";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Archäologische Staatssammlung München";"K0436";"";"";"Manching"
"5400";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0496";"";"";"Manching"
"5401";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0497";"";"";"Manching"
"5401";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0497";"";"";"Manching"
"5402";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0568";"";"";"Manching"
"5403";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Archäologische Staatssammlung München";"K0569";"";"";"Manching"
"5404";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0579";"";"";"Manching"
"5405";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0583";"";"";"Manching"
"5406";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0584";"";"";"Manching"
"5407";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Archäologische Staatssammlung München";"K0588";"";"";"Manching"
"5408";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0589";"";"";"Manching"
"5409";"Kreuzmünze mit Ringel";"Av. Irregular hump as remnant of a head.";"Rv. Cross in the angles V. Ringlet with inner dot, torques and three dots.";"";"";"Archäologische Staatssammlung München";"K0590";"";"";"Manching"
"5410";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0596";"";"";"Manching"
"5411";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Archäologische Staatssammlung München";"K0597";"";"";"Manching"
"5412";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0607";"";"";"Manching"
"5413";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0608";"";"";"Manching"
"5414";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0609";"";"";"Manching"
"5415";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0616";"";"";"Manching"
"5416";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0617";"";"";"Manching"
"5417";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0623";"";"";"Manching"
"5418";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0656";"";"";"Manching"
"5419";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0657";"";"";"Manching"
"5420";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0658";"";"";"Manching"
"5420";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0658";"";"";"Manching"
"5421";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0659";"";"";"Manching"
"5422";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0660";"";"";"Manching"
"5423";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0661";"";"";"Manching"
"5424";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0662";"";"";"Manching"
"5425";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0663";"";"";"Manching"
"5425";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0663";"";"";"Manching"
"5426";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0664";"";"";"Manching"
"5426";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0664";"";"";"Manching"
"5427";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0665";"";"";"Manching"
"5427";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0665";"";"";"Manching"
"5428";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0666";"";"";"Manching"
"5429";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0667";"";"";"Manching"
"5429";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0667";"";"";"Manching"
"5430";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0798";"";"";"Manching"
"5431";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0799";"";"";"Manching"
"5432";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0800";"";"";"Manching"
"5433";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0801";"";"";"Manching"
"5434";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0802";"";"";"Manching"
"5435";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"Archäologische Staatssammlung München";"K0803";"";"";"Manching"
"5436";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0804";"";"";"Manching"
"5437";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0805";"";"";"Manching"
"5438";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0806";"";"";"Manching"
"5439";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0807";"";"";"Manching"
"5440";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0808";"";"";"Manching"
"5440";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0808";"";"";"Manching"
"5441";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0809";"";"";"Manching"
"5442";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Archäologische Staatssammlung München";"K0810";"";"";"Manching"
"5443";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0811";"";"";"Manching"
"5444";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0812";"";"";"Manching"
"5445";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0813";"";"";"Manching"
"5446";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0814";"";"";"Manching"
"5447";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0815";"";"";"Manching"
"5448";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0816";"";"";"Manching"
"5449";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0817";"";"";"Manching"
"5450";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0818";"";"";"Manching"
"5450";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"Archäologische Staatssammlung München";"K0818";"";"";"Manching"
"5451";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0819";"";"";"Manching"
"5452";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0837";"";"";"Manching"
"5452";"";"";"";"";"";"Archäologische Staatssammlung München";"K0837";"";"";"Manching"
"5453";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0838";"";"";"Manching"
"5454";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0839";"";"";"Manching"
"5455";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0840";"";"";"Manching"
"5456";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0860";"";"";"Manching"
"5457";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Archäologische Staatssammlung München";"K0861";"";"";"Manching"
"5458";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0872";"";"";"Manching"
"5459";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0873";"";"";"Manching"
"5460";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0881";"";"";"Manching"
"5460";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0881";"";"";"Manching"
"5461";"Magdalensberg";"";"";"";"";"Archäologische Staatssammlung München";"K0882";"";"";"Manching"
"5462";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0883";"";"";"Manching"
"5463";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0884";"";"";"Manching"
"5464";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0889";"";"";"Manching"
"5464";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0889";"";"";"Manching"
"5465";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0890";"";"";"Manching"
"5465";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0890";"";"";"Manching"
"5466";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0892";"";"";"Manching"
"5467";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0895";"";"";"Manching"
"5468";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0905";"";"";"Manching"
"5468";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0905";"";"";"Manching"
